"","Age","Sex","Survived"
"1196",24.063829787234,"female",NA
"1197",64,"female",NA
"1198",30,"male",NA
"1199",0.83,"male",NA
"1200",55,"male",NA
"1201",45,"female",NA
"1202",18,"male",NA
"1203",22,"male",NA
"1204",30.1516245487365,"male",NA
"1205",37,"female",NA
"1206",55,"female",NA
"1207",17,"female",NA
"1208",57,"male",NA
"1209",19,"male",NA
"1210",27,"male",NA
"1211",22,"male",NA
"1212",26,"male",NA
"1213",25,"male",NA
"1214",26,"male",NA
"1215",33,"male",NA
"1216",39,"female",NA
"1217",23,"male",NA
"1218",12,"female",NA
"1219",46,"male",NA
"1220",29,"male",NA
"1221",21,"male",NA
"1222",48,"female",NA
"1223",39,"male",NA
"1224",30.1516245487365,"male",NA
"1225",19,"female",NA
"1226",27,"male",NA
"1227",30,"male",NA
"1228",32,"male",NA
"1229",39,"male",NA
"1230",25,"male",NA
"1231",24.063829787234,"male",NA
"1232",18,"male",NA
"1233",32,"male",NA
"1234",30.1516245487365,"male",NA
"1235",58,"female",NA
"1236",7.72877358490566,"male",NA
"1237",16,"female",NA
"1238",26,"male",NA
"1239",38,"female",NA
"1240",24,"male",NA
"1241",31,"female",NA
"1242",45,"female",NA
"1243",25,"male",NA
"1244",18,"male",NA
"1245",49,"male",NA
"1246",0.17,"female",NA
"1247",50,"male",NA
"1248",59,"female",NA
"1249",30.1516245487365,"male",NA
"1250",30.1516245487365,"male",NA
"1251",30,"female",NA
"1252",14.5,"male",NA
"1253",24,"female",NA
"1254",31,"female",NA
"1255",27,"male",NA
"1256",25,"female",NA
"1257",30.1516245487365,"female",NA
"1258",30.1516245487365,"male",NA
"1259",22,"female",NA
"1260",45,"female",NA
"1261",29,"male",NA
"1262",21,"male",NA
"1263",31,"female",NA
"1264",49,"male",NA
"1265",44,"male",NA
"1266",54,"female",NA
"1267",45,"female",NA
"1268",22,"female",NA
"1269",21,"male",NA
"1270",55,"male",NA
"1271",5,"male",NA
"1272",30.1516245487365,"male",NA
"1273",26,"male",NA
"1274",30.1516245487365,"female",NA
"1275",19,"female",NA
"1276",30.1516245487365,"male",NA
"1277",24,"female",NA
"1278",24,"male",NA
"1279",57,"male",NA
"1280",21,"male",NA
"1281",6,"male",NA
"1282",23,"male",NA
"1283",51,"female",NA
"1284",13,"male",NA
"1285",47,"male",NA
"1286",29,"male",NA
"1287",18,"female",NA
"1288",24,"male",NA
"1289",48,"female",NA
"1290",22,"male",NA
"1291",31,"male",NA
"1292",30,"female",NA
"1293",38,"male",NA
"1294",22,"female",NA
"1295",17,"male",NA
"1296",43,"male",NA
"1297",20,"male",NA
"1298",23,"male",NA
"1299",50,"male",NA
"1300",24.063829787234,"female",NA
"1301",3,"female",NA
"1302",24.063829787234,"female",NA
"1303",37,"female",NA
"1304",28,"female",NA
"1305",30.1516245487365,"male",NA
"1306",39,"female",NA
"1307",38.5,"male",NA
"1308",30.1516245487365,"male",NA
"1309",7.72877358490566,"male",NA
